totalprice,xiaoqu,hux,mianji,chaoxiang,zhaungxiu,,dizhi,following,alreadylooked,fabu
230万,金田花园  , 2室1厅 , 56.49平米 , 南 北 , 简装 ,,  文三西路,88人关注 , 共1次带看 , 10个月以前发布
620万,山水人家白沙岛  , 4室2厅 , 144.89平米 , 南 , 精装 ,,  文三西路,21人关注 , 共14次带看 , 5个月以前发布
580万,政苑小区  , 3室2厅 , 119.4平米 , 南 , 精装 ,,  申花,2人关注 , 共10次带看 , 1个月以前发布
280万,紫金公寓  , 3室1厅 , 81.98平米 , 南 , 精装 ,,  文三西路,50人关注 , 共20次带看 , 28天以前发布
615万,西溪蝶园二期  , 3室2厅 , 146.74平米 , 南 北 , 精装 ,,  西溪,130人关注 , 共14次带看 , 4个月以前发布
290万,古荡新村西区  , 3室1厅 , 78.37平米 , 南 , 毛坯 ,,  古荡,46人关注 , 共12次带看 , 3个月以前发布
530万,马塍路35号  , 3室1厅 , 67.2平米 , 南 北 , 简装 ,,  学军,32人关注 , 共3次带看 , 8个月以前发布
490万,花园南村  , 3室1厅 , 76.18平米 , 南 , 简装 ,,  文教,1人关注 , 共9次带看 , 1个月以前发布
310万,紫金公寓  , 3室1厅 , 78.49平米 , 南 , 毛坯 ,,  文三西路,39人关注 , 共7次带看 , 10个月以前发布
380万,紫金公寓  , 3室2厅 , 98.65平米 , 南 北 , 简装 ,,  文三西路,65人关注 , 共7次带看 , 8个月以前发布
360万,南都花园一区  , 2室2厅 , 76.21平米 , 南 北 , 简装 ,,  文一西路,34人关注 , 共9次带看 , 7个月以前发布
425万,上郡  , 3室2厅 , 88.71平米 , 南 西 北 , 简装 ,,  申花,40人关注 , 共11次带看 , 6个月以前发布
708万,白荡海人家  , 4室2厅 , 116.4平米 , 南 , 简装 ,,  文教,7人关注 , 共7次带看 , 6个月以前发布
350万,金地自在城  , 3室2厅 , 89.72平米 , 南 , 精装 ,,  三墩,51人关注 , 共48次带看 , 4个月以前发布
300万,康乐香港城  , 2室2厅 , 73.3平米 , 南 , 简装 ,,  文三西路,5人关注 , 共9次带看 , 9个月以前发布
285万,金地自在城  , 2室2厅 , 79.39平米 , 南 北 , 精装 ,,  三墩,594人关注 , 共13次带看 , 一年前发布
270万,都市水乡水秀苑  , 2室2厅 , 93.32平米 , 南 北 , 简装 ,,  三墩,41人关注 , 共15次带看 , 5个月以前发布
450万,融创河滨之城  , 3室2厅 , 88.83平米 , 南 , 毛坯,,  西溪,51人关注 , 共21次带看 , 5个月以前发布
358万,金地自在城  , 3室2厅 , 89平米 , 南 , 精装 ,,  三墩,65人关注 , 共28次带看 , 3个月以前发布
285万,康乐香港城  , 3室1厅 , 81.36平米 , 南 , 简装 ,,  文三西路,19人关注 , 共19次带看 , 1个月以前发布
760万,坤和和家园  , 4室2厅 , 184.65平米 , 南 北 , 精装 ,,  西溪,57人关注 , 共11次带看 , 7个月以前发布
580万,文二路21号  , 3室1厅 , 75.82平米 , 南 , 简装 ,,  学军,41人关注 , 共4次带看 , 一年前发布
348万,翠苑五区  , 3室1厅 , 75.68平米 , 南 北 , 简装 ,,  翠苑,40人关注 , 共3次带看 , 8个月以前发布
520万,恩济花苑  , 3室2厅 , 121.39平米 , 南 北 , 精装 ,,  文一西路,58人关注 , 共1次带看 , 8个月以前发布
530万,嘉绿西苑  , 3室2厅 , 116.17平米 , 南 , 精装 ,,  嘉绿,36人关注 , 共3次带看 , 7个月以前发布
410万,云溪香山  , 4室2厅 , 138.26平米 , 南 , 简装 ,,  转塘,23人关注 , 共5次带看 , 5个月以前发布
450万,桃园新村  , 3室1厅 , 72.2平米 , 南 , 简装 ,,  黄龙,58人关注 , 共0次带看 , 一年前发布
320万,古荡新村西区  , 3室1厅 , 80.54平米 , 南 北 , 毛坯 ,,  古荡,25人关注 , 共9次带看 , 3个月以前发布
165万,康乐香港城  , 1室1厅 , 40.15平米 , 南 , 简装 ,,  文三西路,101人关注 , 共10次带看 , 8个月以前发布
340万,中海紫藤苑  , 2室2厅 , 88.55平米 , 南 , 精装 ,,  三墩,50人关注 , 共11次带看 , 6个月以前发布
308万,金成花园  , 2室1厅 , 59.5平米 , 南 , 简装 ,,  文一西路,22人关注 , 共8次带看 , 5个月以前发布
260万,翠苑东四区  , 2室1厅 , 60.21平米 , 南 北 , 简装 ,,  翠苑,9人关注 , 共13次带看 , 2个月以前发布
600万,桂花城  , 3室2厅 , 94.05平米 , 南 北 , 简装 ,,  文一西路,21人关注 , 共27次带看 , 1个月以前发布
688万,南都德迦东区  , 4室2厅 , 141.39平米 , 南 北 , 简装 ,,  文三西路,4人关注 , 共3次带看 , 28天以前发布
395万,天湖公寓  , 3室2厅 , 125.1平米 , 南 北 , 简装 ,,  文一西路,38人关注 , 共13次带看 , 10个月以前发布
410万,师苑新村  , 2室1厅 , 59.2平米 , 南 北 , 简装 ,,  文教,16人关注 , 共5次带看 , 7个月以前发布
280万,古荡新村西区  , 3室2厅 , 69.25平米 , 南 , 简装 ,,  古荡,52人关注 , 共6次带看 , 9个月以前发布
345万,友谊新村  , 2室2厅 , 67.48平米 , 南 , 简装 ,,  黄龙,27人关注 , 共7次带看 , 8个月以前发布
720万,香樟公寓  , 3室2厅 , 149.48平米 , 南 , 简装 ,,  文三西路,16人关注 , 共2次带看 , 6个月以前发布
735万,外东山弄  , 4室2厅 , 105平米 , 南 , 简装 ,,  黄龙,7人关注 , 共2次带看 , 5个月以前发布
770万,春天花园  , 5室2厅 , 198.32平米 , 南 , 简装 ,,  文一西路,52人关注 , 共1次带看 , 一年前发布
860万,朗郡庭园  , 4室2厅 , 259平米 , 南 , 毛坯 ,,  转塘,29人关注 , 共1次带看 , 一年前发布
470万,亚洲城花园  , 4室2厅 , 130.69平米 , 南 , 简装 ,,  古荡,186人关注 , 共0次带看 , 一年前发布
675万,赞成岭上花苑  , 3室2厅 , 249.32平米 , 南 , 毛坯 ,,  转塘,35人关注 , 共2次带看 , 一年前发布
545万,佳兆业玖珑山  , 5室2厅 , 168平米 , 南 北 , 精装 ,,  转塘,48人关注 , 共1次带看 , 11个月以前发布
